ActivityIdentifier,OrganizationIdentifier,CharacteristicName,ResultMeasureValue,ResultMeasureUnitCode,ResultStatusName,ResultValueTypeName,SubmitData
GSS 0.0-20200211-SR,ClallamCoDCD,pH,6.9,None,Final,Actual,1
GSS 0.0-20200211-SR,ClallamCoDCD,Dissolved oxygen (DO),6.9,mg/l,Final,Actual,1
GSS 0.0-20200211-SR,ClallamCoDCD,Specific conductance,28816,mS/cm,Final,Actual,1
GSS 0.0-20200211-SR,ClallamCoDCD,Salinity,17.7,ppt,Final,Actual,1
GSS 0.0-20200211-SR,ClallamCoDCD,Turbidity,4,FNU,Final,Actual,1
GSS 0.0-20200211-SR,ClallamCoDCD,Fecal Coliform,8,cfu/100ml,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,"Temperature, water",8.6,deg C,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,pH,7.7,None,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,Dissolved oxygen (DO),10.3,mg/l,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,Specific conductance,37852,mS/cm,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,Salinity,23.8,ppt,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,Fecal Coliform,2,cfu/100ml,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,Nitrate,104.62,mg/l,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,Nitrite,2.04,mg/l,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,Ammonia-nitrogen,55.6,mg/l,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,Nitrogen,476.77,mg/l,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,Phosphorus,78.64,mg/l,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,Silicate,1819.77,mg/l,Final,Actual,1
GSS 0.0-20200310-SR,ClallamCoDCD,Gage height,-0.3,ft,Final,Actual,1
GSS 0.0-20200412-SR,ClallamCoDCD,"Temperature, water",14.4,deg C,Final,Actual,1
GSS 0.0-20200412-SR,ClallamCoDCD,pH,8,None,Final,Actual,1
GSS 0.0-20200412-SR,ClallamCoDCD,Dissolved oxygen (DO),10.5,mg/l,Final,Actual,1
GSS 0.0-20200412-SR,ClallamCoDCD,Specific conductance,36484,mS/cm,Final,Actual,1
GSS 0.0-20200412-SR,ClallamCoDCD,Salinity,23.1,ppt,Final,Actual,1
GSS 0.0-20200412-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
GSS 0.0-20200412-SR,ClallamCoDCD,Fecal Coliform,78,cfu/100ml,Final,Actual,1
GSS 0.0-20200412-SR,ClallamCoDCD,Gage height,-0.75,ft,Final,Actual,1
GSS 0.0-20200512-SR,ClallamCoDCD,"Temperature, water",18.4,deg C,Final,Actual,1
GSS 0.0-20200512-SR,ClallamCoDCD,pH,7.3,None,Final,Actual,1
GSS 0.0-20200512-SR,ClallamCoDCD,Dissolved oxygen (DO),0.8,mg/l,Final,Actual,1
GSS 0.0-20200512-SR,ClallamCoDCD,Specific conductance,19422,mS/cm,Final,Actual,1
GSS 0.0-20200512-SR,ClallamCoDCD,Salinity,11.6,ppt,Final,Actual,1
GSS 0.0-20200512-SR,ClallamCoDCD,Turbidity,27,FNU,Final,Actual,1
GSS 0.0-20200512-SR,ClallamCoDCD,Fecal Coliform,66,cfu/100ml,Final,Actual,1
GSS 0.0-20200512-SR,ClallamCoDCD,Gage height,0.1,ft,Final,Actual,1
GSS 0.0-20200615-SR,ClallamCoDCD,"Temperature, water",17.8,deg C,Final,Actual,1
GSS 0.0-20200615-SR,ClallamCoDCD,Dissolved oxygen (DO),11.6,mg/l,Final,Actual,1
GSS 0.0-20200615-SR,ClallamCoDCD,Specific conductance,17819,mS/cm,Final,Actual,1
GSS 0.0-20200615-SR,ClallamCoDCD,Salinity,10.6,ppt,Final,Actual,1
GSS 0.0-20200615-SR,ClallamCoDCD,Turbidity,4,FNU,Final,Actual,1
GSS 0.0-20200615-SR,ClallamCoDCD,Fecal Coliform,32,cfu/100ml,Final,Actual,1
GSS 0.0-20200615-SR,ClallamCoDCD,Nitrate,2.61,mg/l,Final,Actual,1
GSS 0.0-20200615-SR,ClallamCoDCD,Nitrite,0.44,mg/l,Final,Actual,1
GSS 0.0-20200615-SR,ClallamCoDCD,Ammonia-nitrogen,72.3,mg/l,Final,Actual,1
GSS 0.0-20200615-SR,ClallamCoDCD,Nitrogen,965.03,mg/l,Final,Actual,1
GSS 0.0-20200615-SR,ClallamCoDCD,Phosphorus,289.1,mg/l,Final,Actual,1
GSS 0.0-20200615-SR,ClallamCoDCD,Silicate,7054.21,mg/l,Final,Actual,1
GSS 0.0-20200714-SR,ClallamCoDCD,"Temperature, water",21.6,deg C,Final,Actual,1
GSS 0.0-20200714-SR,ClallamCoDCD,Dissolved oxygen (DO),11.3,mg/l,Final,Actual,1
GSS 0.0-20200714-SR,ClallamCoDCD,Specific conductance,38783,mS/cm,Final,Actual,1
GSS 0.0-20200714-SR,ClallamCoDCD,Salinity,24.7,ppt,Final,Actual,1
GSS 0.0-20200714-SR,ClallamCoDCD,Turbidity,5,FNU,Final,Actual,1
GSS 0.0-20200714-SR,ClallamCoDCD,Fecal Coliform,72,cfu/100ml,Final,Actual,1
GSS 0.0-20200714-SR,ClallamCoDCD,Nitrate,1.09,mg/l,Final,Actual,1
GSS 0.0-20200714-SR,ClallamCoDCD,Nitrite,1.9,mg/l,Final,Actual,1
GSS 0.0-20200714-SR,ClallamCoDCD,Ammonia-nitrogen,71.5,mg/l,Final,Actual,1
GSS 0.0-20200714-SR,ClallamCoDCD,Nitrogen,465.23,mg/l,Final,Actual,1
GSS 0.0-20200714-SR,ClallamCoDCD,Phosphorus,102.84,mg/l,Final,Actual,1
GSS 0.0-20200714-SR,ClallamCoDCD,Silicate,4432.36,mg/l,Final,Actual,1
GSS 0.0-20200714-SR,ClallamCoDCD,Gage height,-0.8,ft,Final,Actual,1
GSS 0.0-20200812-SR,ClallamCoDCD,"Temperature, water",20.6,deg C,Final,Actual,1
GSS 0.0-20200812-SR,ClallamCoDCD,Dissolved oxygen (DO),12.3,mg/l,Final,Actual,1
GSS 0.0-20200812-SR,ClallamCoDCD,Specific conductance,42040,mS/cm,Final,Actual,1
GSS 0.0-20200812-SR,ClallamCoDCD,Salinity,27,ppt,Final,Actual,1
GSS 0.0-20200812-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
GSS 0.0-20200812-SR,ClallamCoDCD,Fecal Coliform,26,cfu/100ml,Final,Actual,1
GSS 0.0-20200812-SR,ClallamCoDCD,Gage height,-0.92,ft,Final,Actual,1
GSS 0.0-20200928-SR,ClallamCoDCD,"Temperature, water",14.1,deg C,Final,Actual,1
GSS 0.0-20200928-SR,ClallamCoDCD,pH,7.1,None,Final,Actual,1
GSS 0.0-20200928-SR,ClallamCoDCD,Dissolved oxygen (DO),0.1,mg/l,Final,Actual,1
GSS 0.0-20200928-SR,ClallamCoDCD,Specific conductance,17669,mS/cm,Final,Actual,1
GSS 0.0-20200928-SR,ClallamCoDCD,Salinity,10.5,ppt,Final,Actual,1
GSS 0.0-20200928-SR,ClallamCoDCD,Turbidity,668,FNU,Final,Actual,1
GSS 0.0-20200928-SR,ClallamCoDCD,Fecal Coliform,131,cfu/100ml,Final,Actual,1
GSS 0.0-20200928-SR,ClallamCoDCD,Gage height,0,ft,Final,Actual,1
GSS 0.0-20201012-SR,ClallamCoDCD,"Temperature, water",12.6,deg C,Final,Actual,1
GSS 0.0-20201012-SR,ClallamCoDCD,pH,7.3,None,Final,Actual,1
GSS 0.0-20201012-SR,ClallamCoDCD,Dissolved oxygen (DO),0.5,mg/l,Final,Actual,1
GSS 0.0-20201012-SR,ClallamCoDCD,Specific conductance,17051,mS/cm,Final,Actual,1
GSS 0.0-20201012-SR,ClallamCoDCD,Salinity,10,ppt,Final,Actual,1
GSS 0.0-20201012-SR,ClallamCoDCD,Turbidity,44,FNU,Final,Actual,1
GSS 0.0-20201012-SR,ClallamCoDCD,Fecal Coliform,999,cfu/100ml,Final,Actual,1
GSS 0.0-20201012-SR,ClallamCoDCD,Nitrate,0.7,mg/l,Final,Actual,1
GSS 0.0-20201012-SR,ClallamCoDCD,Nitrite,2.59,mg/l,Final,Actual,1
GSS 0.0-20201012-SR,ClallamCoDCD,Ammonia-nitrogen,1814.8,mg/l,Final,Actual,1
GSS 0.0-20201012-SR,ClallamCoDCD,Silicate,9556.7,mg/l,Final,Actual,1
GSS 0.0-20201012-SR,ClallamCoDCD,Gage height,-0.44,ft,Final,Actual,1
GSS 0.0-20201116-SR,ClallamCoDCD,"Temperature, water",7.5,deg C,Final,Actual,1
GSS 0.0-20201116-SR,ClallamCoDCD,pH,7.2,None,Final,Actual,1
GSS 0.0-20201116-SR,ClallamCoDCD,Dissolved oxygen (DO),0.9,mg/l,Final,Actual,1
GSS 0.0-20201116-SR,ClallamCoDCD,Specific conductance,22881,mS/cm,Final,Actual,1
GSS 0.0-20201116-SR,ClallamCoDCD,Salinity,13.7,ppt,Final,Actual,1
GSS 0.0-20201116-SR,ClallamCoDCD,Turbidity,26,FNU,Final,Actual,1
GSS 0.0-20201116-SR,ClallamCoDCD,Fecal Coliform,18,cfu/100ml,Final,Actual,1
GSS 0.0-20201116-SR,ClallamCoDCD,Nitrate,186.23,mg/l,Final,Actual,1
GSS 0.0-20201116-SR,ClallamCoDCD,Nitrite,9.97,mg/l,Final,Actual,1
GSS 0.0-20201116-SR,ClallamCoDCD,Ammonia-nitrogen,487.5,mg/l,Final,Actual,1
GSS 0.0-20201116-SR,ClallamCoDCD,Silicate,4938.41,mg/l,Final,Actual,1
GSS 0.0-20201207-SR,ClallamCoDCD,"Temperature, water",7.8,deg C,Final,Actual,1
GSS 0.0-20201207-SR,ClallamCoDCD,pH,7.4,None,Final,Actual,1
GSS 0.0-20201207-SR,ClallamCoDCD,Dissolved oxygen (DO),3.9,mg/l,Final,Actual,1
GSS 0.0-20201207-SR,ClallamCoDCD,Specific conductance,47426,mS/cm,Final,Actual,1
GSS 0.0-20201207-SR,ClallamCoDCD,Salinity,30.5,ppt,Final,Actual,1
GSS 0.0-20201207-SR,ClallamCoDCD,Turbidity,62,FNU,Final,Actual,1
GSS 0.0-20201207-SR,ClallamCoDCD,Fecal Coliform,14,cfu/100ml,Final,Actual,1
GSS 0.0-20201207-SR,ClallamCoDCD,Gage height,1.6,ft,Final,Actual,1
GSS 0.0-20210111-SR,ClallamCoDCD,"Temperature, water",7.8,deg C,Final,Actual,1
GSS 0.0-20210111-SR,ClallamCoDCD,pH,7.5,None,Final,Actual,1
GSS 0.0-20210111-SR,ClallamCoDCD,Dissolved oxygen (DO),9.3,mg/l,Final,Actual,1
GSS 0.0-20210111-SR,ClallamCoDCD,Specific conductance,45591,mS/cm,Final,Actual,1
GSS 0.0-20210111-SR,ClallamCoDCD,Salinity,29.2,ppt,Final,Actual,1
GSS 0.0-20210111-SR,ClallamCoDCD,Turbidity,21,FNU,Final,Actual,1
GSS 0.0-20210111-SR,ClallamCoDCD,Fecal Coliform,36,cfu/100ml,Final,Actual,1
GSS 0.0-20210209-SR,ClallamCoDCD,"Temperature, water",7.4,deg C,Final,Actual,1
GSS 0.0-20210209-SR,ClallamCoDCD,pH,7.8,None,Final,Actual,1
GSS 0.0-20210209-SR,ClallamCoDCD,Dissolved oxygen (DO),9.4,mg/l,Final,Actual,1
GSS 0.0-20210209-SR,ClallamCoDCD,Specific conductance,45570,mS/cm,Final,Actual,1
GSS 0.0-20210209-SR,ClallamCoDCD,Salinity,29.2,ppt,Final,Actual,1
GSS 0.0-20210209-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
GSS 0.0-20210209-SR,ClallamCoDCD,Fecal Coliform,2,cfu/100ml,Final,Actual,1
GSS 0.0-20210308-SR,ClallamCoDCD,"Temperature, water",10,deg C,Final,Actual,1
GSS 0.0-20210308-SR,ClallamCoDCD,pH,7.4,None,Final,Actual,1
GSS 0.0-20210308-SR,ClallamCoDCD,Dissolved oxygen (DO),8.7,mg/l,Final,Actual,1
GSS 0.0-20210308-SR,ClallamCoDCD,Specific conductance,45790,mS/cm,Final,Actual,1
GSS 0.0-20210308-SR,ClallamCoDCD,Salinity,29.5,ppt,Final,Actual,1
GSS 0.0-20210308-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
GSS 0.0-20210308-SR,ClallamCoDCD,Fecal Coliform,8,cfu/100ml,Final,Actual,1
GSS 0.0-20210308-SR,ClallamCoDCD,Nitrate,460.11,mg/l,Final,Actual,1
GSS 0.0-20210308-SR,ClallamCoDCD,Nitrite,4.72,mg/l,Final,Actual,1
GSS 0.0-20210308-SR,ClallamCoDCD,Ammonia-nitrogen,190.5,mg/l,Final,Actual,1
GSS 0.0-20210308-SR,ClallamCoDCD,Nitrogen,1036,mg/l,Final,Actual,1
GSS 0.0-20210308-SR,ClallamCoDCD,Phosphorus,122.18,mg/l,Final,Actual,1
GSS 0.0-20210308-SR,ClallamCoDCD,Silicate,1788.57,mg/l,Final,Actual,1
GSS 0.0-20210419-SR,ClallamCoDCD,"Temperature, water",16.9,deg C,Final,Actual,1
GSS 0.0-20210419-SR,ClallamCoDCD,pH,7.9,None,Final,Actual,1
GSS 0.0-20210419-SR,ClallamCoDCD,Dissolved oxygen (DO),9.5,mg/l,Final,Actual,1
GSS 0.0-20210419-SR,ClallamCoDCD,Specific conductance,38348,mS/cm,Final,Actual,1
GSS 0.0-20210419-SR,ClallamCoDCD,Salinity,24.4,ppt,Final,Actual,1
GSS 0.0-20210419-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
GSS 0.0-20210419-SR,ClallamCoDCD,Fecal Coliform,72,cfu/100ml,Final,Actual,1
GSS 0.0-20210419-SR,ClallamCoDCD,Gage height,-0.4,ft,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,"Temperature, water",19.9,deg C,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,pH,7.9,None,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,Dissolved oxygen (DO),8.6,mg/l,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,Specific conductance,34919,mS/cm,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,Salinity,22,ppt,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,Turbidity,4,FNU,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,Fecal Coliform,8,cfu/100ml,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,Nitrate,1.85,mg/l,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,Nitrite,1.22,mg/l,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,Ammonia-nitrogen,107.6,mg/l,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,Nitrogen,604.62,mg/l,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,Phosphorus,87.24,mg/l,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,Silicate,1352.05,mg/l,Final,Actual,1
GSS 0.0-20210510-SR,ClallamCoDCD,Gage height,-0.78,ft,Final,Actual,1
GSS 0.0-20210614-SR,ClallamCoDCD,"Temperature, water",16,deg C,Final,Actual,1
GSS 0.0-20210614-SR,ClallamCoDCD,pH,7.5,None,Final,Actual,1
GSS 0.0-20210614-SR,ClallamCoDCD,Dissolved oxygen (DO),5.5,mg/l,Final,Actual,1
GSS 0.0-20210614-SR,ClallamCoDCD,Specific conductance,44925,mS/cm,Final,Actual,1
GSS 0.0-20210614-SR,ClallamCoDCD,Salinity,29.1,ppt,Final,Actual,1
GSS 0.0-20210614-SR,ClallamCoDCD,Turbidity,4,FNU,Final,Actual,1
GSS 0.0-20210614-SR,ClallamCoDCD,Fecal Coliform,168,cfu/100ml,Final,Actual,1
GSS 0.0-20210712-SR,ClallamCoDCD,"Temperature, water",19.7,deg C,Final,Actual,1
GSS 0.0-20210712-SR,ClallamCoDCD,pH,8.1,None,Final,Actual,1
GSS 0.0-20210712-SR,ClallamCoDCD,Dissolved oxygen (DO),9.2,mg/l,Final,Actual,1
GSS 0.0-20210712-SR,ClallamCoDCD,Specific conductance,45724,mS/cm,Final,Actual,1
GSS 0.0-20210712-SR,ClallamCoDCD,Salinity,19.7,ppt,Final,Actual,1
GSS 0.0-20210712-SR,ClallamCoDCD,Turbidity,2,FNU,Final,Actual,1
GSS 0.0-20210712-SR,ClallamCoDCD,Fecal Coliform,29,cfu/100ml,Final,Actual,1
GSS 0.0-20210712-SR,ClallamCoDCD,Nitrate,2.03,mg/l,Final,Actual,1
GSS 0.0-20210712-SR,ClallamCoDCD,Nitrite,1.66,mg/l,Final,Actual,1
GSS 0.0-20210712-SR,ClallamCoDCD,Ammonia-nitrogen,60.4,mg/l,Final,Actual,1
GSS 0.0-20210712-SR,ClallamCoDCD,Nitrogen,426.77,mg/l,Final,Actual,1
GSS 0.0-20210712-SR,ClallamCoDCD,Phosphorus,75.61,mg/l,Final,Actual,1
GSS 0.0-20210712-SR,ClallamCoDCD,Silicate,736.82,mg/l,Final,Actual,1
GSS 0.0-20210809-SR,ClallamCoDCD,"Temperature, water",20.1,deg C,Final,Actual,1
GSS 0.0-20210809-SR,ClallamCoDCD,pH,8.2,None,Final,Actual,1
GSS 0.0-20210809-SR,ClallamCoDCD,Dissolved oxygen (DO),10.9,mg/l,Final,Actual,1
GSS 0.0-20210809-SR,ClallamCoDCD,Specific conductance,46073,mS/cm,Final,Actual,1
GSS 0.0-20210809-SR,ClallamCoDCD,Salinity,29.9,ppt,Final,Actual,1
GSS 0.0-20210809-SR,ClallamCoDCD,Turbidity,1,FNU,Final,Actual,1
GSS 0.0-20210809-SR,ClallamCoDCD,Fecal Coliform,4,cfu/100ml,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,"Temperature, water",12.5,deg C,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,pH,7.2,None,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,Dissolved oxygen (DO),6.3,mg/l,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,Specific conductance,48193,mS/cm,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,Salinity,31.3,ppt,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,Fecal Coliform,74,cfu/100ml,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,Nitrate,12.86,mg/l,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,Nitrite,2.25,mg/l,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,Ammonia-nitrogen,56.5,mg/l,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,Nitrogen,322.12,mg/l,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,Phosphorus,121.25,mg/l,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,Silicate,983.67,mg/l,Final,Actual,1
GSS 0.0-20210913-SR,ClallamCoDCD,Gage height,-0.3,ft,Final,Actual,1
GSS 0.0-20211011-SR,ClallamCoDCD,"Temperature, water",8.6,deg C,Final,Actual,1
GSS 0.0-20211011-SR,ClallamCoDCD,pH,7.2,None,Final,Actual,1
GSS 0.0-20211011-SR,ClallamCoDCD,Dissolved oxygen (DO),0.4,mg/l,Final,Actual,1
GSS 0.0-20211011-SR,ClallamCoDCD,Specific conductance,27108,mS/cm,Final,Actual,1
GSS 0.0-20211011-SR,ClallamCoDCD,Salinity,16.6,ppt,Final,Actual,1
GSS 0.0-20211011-SR,ClallamCoDCD,Turbidity,84,FNU,Final,Actual,1
GSS 0.0-20211011-SR,ClallamCoDCD,Fecal Coliform,404,cfu/100ml,Final,Actual,1
GSS 0.0-20211011-SR,ClallamCoDCD,Gage height,-0.46,ft,Final,Actual,1
GSS 0.0-20211108-SR,ClallamCoDCD,"Temperature, water",6.4,deg C,Final,Actual,1
GSS 0.0-20211108-SR,ClallamCoDCD,pH,7,None,Final,Actual,1
GSS 0.0-20211108-SR,ClallamCoDCD,Dissolved oxygen (DO),0.6,mg/l,Final,Actual,1
GSS 0.0-20211108-SR,ClallamCoDCD,Specific conductance,26929,mS/cm,Final,Actual,1
GSS 0.0-20211108-SR,ClallamCoDCD,Salinity,16.4,ppt,Final,Actual,1
GSS 0.0-20211108-SR,ClallamCoDCD,Turbidity,11,FNU,Final,Actual,1
GSS 0.0-20211108-SR,ClallamCoDCD,Fecal Coliform,195,cfu/100ml,Final,Actual,1
GSS 0.0-20211108-SR,ClallamCoDCD,Nitrate,21.88,mg/l,Final,Actual,1
GSS 0.0-20211108-SR,ClallamCoDCD,Nitrite,3.88,mg/l,Final,Actual,1
GSS 0.0-20211108-SR,ClallamCoDCD,Ammonia-nitrogen,768.5,mg/l,Final,Actual,1
GSS 0.0-20211108-SR,ClallamCoDCD,Nitrogen,1929.61,mg/l,Final,Actual,1
GSS 0.0-20211108-SR,ClallamCoDCD,Phosphorus,350.25,mg/l,Final,Actual,1
GSS 0.0-20211108-SR,ClallamCoDCD,Silicate,6284.13,mg/l,Final,Actual,1
GSS 0.0-20211213-SR,ClallamCoDCD,"Temperature, water",3.9,deg C,Final,Actual,1
GSS 0.0-20211213-SR,ClallamCoDCD,pH,7.6,None,Final,Actual,1
GSS 0.0-20211213-SR,ClallamCoDCD,Dissolved oxygen (DO),6,mg/l,Final,Actual,1
GSS 0.0-20211213-SR,ClallamCoDCD,Specific conductance,13218,mS/cm,Final,Actual,1
GSS 0.0-20211213-SR,ClallamCoDCD,Salinity,7.5,ppt,Final,Actual,1
GSS 0.0-20211213-SR,ClallamCoDCD,Turbidity,5,FNU,Final,Actual,1
GSS 0.0-20211213-SR,ClallamCoDCD,Fecal Coliform,8,cfu/100ml,Final,Actual,1
GSS 0.0-20220214-SR,ClallamCoDCD,"Temperature, water",7.9,deg C,Final,Actual,1
GSS 0.0-20220214-SR,ClallamCoDCD,pH,7.4,None,Final,Actual,1
GSS 0.0-20220214-SR,ClallamCoDCD,Dissolved oxygen (DO),8.4,mg/l,Final,Actual,1
GSS 0.0-20220214-SR,ClallamCoDCD,Specific conductance,46912,mS/cm,Final,Actual,1
GSS 0.0-20220214-SR,ClallamCoDCD,Salinity,30.2,ppt,Final,Actual,1
GSS 0.0-20220214-SR,ClallamCoDCD,Turbidity,1,FNU,Final,Actual,1
GSS 0.0-20220214-SR,ClallamCoDCD,Fecal Coliform,18,cfu/100ml,Final,Actual,1
GSS 0.0-20220314-SR,ClallamCoDCD,"Temperature, water",8.8,deg C,Final,Actual,1
GSS 0.0-20220314-SR,ClallamCoDCD,Dissolved oxygen (DO),8.6,mg/l,Final,Actual,1
GSS 0.0-20220314-SR,ClallamCoDCD,Specific conductance,46725,mS/cm,Final,Actual,1
GSS 0.0-20220314-SR,ClallamCoDCD,Salinity,30.1,ppt,Final,Actual,1
GSS 0.0-20220314-SR,ClallamCoDCD,Turbidity,15,FNU,Final,Actual,1
GSS 0.0-20220314-SR,ClallamCoDCD,Fecal Coliform,4,cfu/100ml,Final,Actual,1
GSS 0.0-20220314-SR,ClallamCoDCD,Nitrate,315.36,mg/l,Final,Actual,1
GSS 0.0-20220314-SR,ClallamCoDCD,Nitrite,4.96,mg/l,Final,Actual,1
GSS 0.0-20220314-SR,ClallamCoDCD,Ammonia-nitrogen,25.8,mg/l,Final,Actual,1
GSS 0.0-20220314-SR,ClallamCoDCD,Nitrogen,681.79,mg/l,Final,Actual,1
GSS 0.0-20220314-SR,ClallamCoDCD,Phosphorus,105.47,mg/l,Final,Actual,1
GSS 0.0-20220314-SR,ClallamCoDCD,Silicate,1267.99,mg/l,Final,Actual,1
GSS 0.0-20220426-SR,ClallamCoDCD,"Temperature, water",14,deg C,Final,Actual,1
GSS 0.0-20220426-SR,ClallamCoDCD,pH,7.7,None,Final,Actual,1
GSS 0.0-20220426-SR,ClallamCoDCD,Dissolved oxygen (DO),8.4,mg/l,Final,Actual,1
GSS 0.0-20220426-SR,ClallamCoDCD,Specific conductance,44105,mS/cm,Final,Actual,1
GSS 0.0-20220426-SR,ClallamCoDCD,Salinity,28.5,ppt,Final,Actual,1
GSS 0.0-20220426-SR,ClallamCoDCD,Turbidity,5,FNU,Final,Actual,1
GSS 0.0-20220426-SR,ClallamCoDCD,Fecal Coliform,4,cfu/100ml,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,"Temperature, water",15.4,deg C,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,pH,8.1,None,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,Dissolved oxygen (DO),9.9,mg/l,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,Specific conductance,42799,mS/cm,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,Salinity,27.6,ppt,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,Fecal Coliform,110,cfu/100ml,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,Nitrate,4.74,mg/l,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,Nitrite,0.99,mg/l,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,Ammonia-nitrogen,59.3,mg/l,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,Nitrogen,634.09,mg/l,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,Phosphorus,90.98,mg/l,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,Silicate,968.95,mg/l,Final,Actual,1
GSS 0.0-20220509-SR,ClallamCoDCD,Gage height,-0.57,ft,Final,Actual,1
GSS 0.0-20220613-SR,ClallamCoDCD,"Temperature, water",16,deg C,Final,Actual,1
GSS 0.0-20220613-SR,ClallamCoDCD,pH,7.7,None,Final,Actual,1
GSS 0.0-20220613-SR,ClallamCoDCD,Dissolved oxygen (DO),7.8,mg/l,Final,Actual,1
GSS 0.0-20220613-SR,ClallamCoDCD,Specific conductance,39900,mS/cm,Final,Actual,1
GSS 0.0-20220613-SR,ClallamCoDCD,Salinity,26,ppt,Final,Actual,1
GSS 0.0-20220613-SR,ClallamCoDCD,Turbidity,5,FNU,Final,Actual,1
GSS 0.0-20220613-SR,ClallamCoDCD,Fecal Coliform,172,cfu/100ml,Final,Actual,1
GSS 0.0-20220712-SR,ClallamCoDCD,"Temperature, water",19.5,deg C,Final,Actual,1
GSS 0.0-20220712-SR,ClallamCoDCD,pH,8.3,None,Final,Actual,1
GSS 0.0-20220712-SR,ClallamCoDCD,Dissolved oxygen (DO),10.1,mg/l,Final,Actual,1
GSS 0.0-20220712-SR,ClallamCoDCD,Specific conductance,42780,mS/cm,Final,Actual,1
GSS 0.0-20220712-SR,ClallamCoDCD,Salinity,27.6,ppt,Final,Actual,1
GSS 0.0-20220712-SR,ClallamCoDCD,Turbidity,3,FNU,Final,Actual,1
GSS 0.0-20220712-SR,ClallamCoDCD,Fecal Coliform,232,cfu/100ml,Final,Actual,1
GSS 0.0-20220712-SR,ClallamCoDCD,Nitrate,4.81,mg/l,Final,Actual,1
GSS 0.0-20220712-SR,ClallamCoDCD,Nitrite,1.26,mg/l,Final,Actual,1
